Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,MetaphoricalSenseCategory,SentimentCategory
,"1 metaphor, 0  literal","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 physical property, 2 magnitude, 3 sense, 4 age, 5 shape, 6 state, 7 quality, 8 symbol","-1 negative, 0 neutral, 1 positive"
10995.jpg,1,12,11,7,1
10996.jpg,1,12,11,7,1
11007.jpg,1,12,10,3,1
11119.jpg,0,,,,1
11122.jpg,0,,,,0
11123.jpg,0,,,,1
11873.jpg,1,11,10,7,0
1069.jpg,1,12,10,7,0
11092.jpg,1,12,11,7,1
10544.jpg,1,12,11,3,0
1198.jpg,1,12,11,7,0
11983.jpg,0,,,,0
12.jpg,1,12,10,7,0
1200.jpg,0,,,,1
12000.jpg,1,12,6,7,0
12015.jpg,0,,,,1
12031.jpg,1,12,10,7,0
12041.jpg,1,12,10,7,0
a2508.jpg,1,12,12,3,1
10430.jpg,1,12,10,8,0
1023.jpg,1,12,11,7,0
11684.jpg,1,12,11,7,0
10003.jpg,1,12,10,8,0
12685.jpg,1,12,11,7,0
10006.jpg,0,,,,0
10012.jpg,1,12,6,7,1
10014.jpg,0,,,,0
10047.jpg,0,,,,1
10061.jpg,0,,,,1
10086.jpg,0,,,,1
10093.jpg,0,,,,1
10094.jpg,0,,,,0
10096.jpg,0,,,,0
1010.jpg,0,,,,0
1011.jpg,0,,,,1
10115.jpg,0,,,,0
10136.jpg,0,,,,0
10143.jpg,1,12,12,8,1
10151.jpg,0,,,,0
10153.jpg,0,,,,0
10155.jpg,1,10,10,7,1
10177.jpg,0,,,,1
10183.jpg,0,,,,0
10191.jpg,0,,,,1
10200.jpg,0,,,,0
10205.jpg,0,,,,0
10240.jpg,0,,,,0
10251.jpg,0,,,,0
10257.jpg,0,,,,0
1026.jpg,0,,,,0
10269.jpg,0,,,,0
10270.jpg,0,,,,0
10283.jpg,1,12,4,7,0
10284.jpg,1,12,11,7,0
10288.jpg,1,12,11,8,0
10308.jpg,0,,,,0
10310.jpg,1,12,12,8,1
10333.jpg,0,,,,0
10348.jpg,1,12,11,7,1
10355.jpg,0,,,,0
1036.jpg,0,,,,0
10363.jpg,0,,,,0
10373.jpg,0,,,,1
10380.jpg,0,,,,0
10391.jpg,0,,,,0
10392.jpg,0,,,,1
10406.jpg,0,,,,0
10407.jpg,0,,,,0
10410.jpg,0,,,,0
10415.jpg,0,,,,1
10421.jpg,0,,,,0
10429.jpg,0,,,,0
10433.jpg,1,12,11,7,0
10454.jpg,0,,,,1
10459.jpg,0,,,,0
10461.jpg,0,,,,0
10476.jpg,0,,,,0
10480.jpg,1,12,8,7,0
10488.jpg,0,,,,0
10490.jpg,1,12,11,7,1
1050.jpg,1,12,8,3,1
10503.jpg,0,,,,0
10504.jpg,0,,,,0
10513.jpg,0,,,,1
10518.jpg,0,12,12,7,0
10522.jpg,1,12,11,7,0
10525.jpg,1,12,10,3,1
10526.jpg,0,,,,0
10530.jpg,0,,,,1
10538.jpg,1,12,6,7,1
10545.jpg,0,,,,0
1055.jpg,0,,,,0
10559.jpg,0,,,,0
10566.jpg,1,12,10,7,0
10567.jpg,1,12,11,7,0
10572.jpg,0,,,,0
10597.jpg,0,,,,0
1060.jpg,1,12,11,7,0
10606.jpg,0,,,,0
10614.jpg,1,10,12,8,0
10640.jpg,0,,,,0
1065.jpg,0,,,,0
1066.jpg,1,12,11,7,1
10661.jpg,0,,,,1
10673.jpg,0,,,,0
10711.jpg,0,,,,0
1072.jpg,0,,,,0
10738.jpg,0,,,,0
10744.jpg,1,10,11,7,0
10746.jpg,0,12,12,8,0
1075.jpg,0,,,,0
10755.jpg,0,,,,1
10763.jpg,0,,,,0
10764.jpg,0,,,,0
10765.jpg,0,,,,0
10780.jpg,0,,,,0
10797.jpg,0,,,,0
1000.jpg,0,,,,1
10798.jpg,0,,,,0
10802.jpg,0,,,,0
10815.jpg,0,,,,0
10816.jpg,0,,,,0
10817.jpg,0,,,,1
10829.jpg,0,,,,0
1083.jpg,0,,,,0
10834.jpg,0,,,,1
10835.jpg,0,,,,1
10839.jpg,1,12,11,7,1
10865.jpg,0,,,,0
10867.jpg,1,12,11,7,1
10868.jpg,0,,,,1
10874.jpg,0,,,,0
1088.jpg,1,12,10,3,0
10882.jpg,0,,,,1
10886.jpg,1,10,11,7,0
10899.jpg,0,,,,1
10907.jpg,0,,,,0
10933.jpg,0,,,,0
10950.jpg,0,,,,1
10952.jpg,1,12,11,7,1
1096.jpg,1,12,11,7,1
10965.jpg,0,,,,1
10984.jpg,1,12,10,3,0
10988.jpg,0,,,,0
11009.jpg,0,,,,0
11011.jpg,0,,,,1
11040.jpg,1,12,10,3,0
11041.jpg,0,,,,0
11043.jpg,0,,,,0
11049.jpg,0,,,,0
1105.jpg,0,,,,0
11058.jpg,0,,,,1
11061.jpg,1,12,10,3,0
11068.jpg,0,,,,0
11078.jpg,1,12,11,3,0
11085.jpg,0,,,,1
11094.jpg,0,,,,0
11103.jpg,0,,,,0
11108.jpg,0,,,,1
11109.jpg,1,12,10,7,0
11113.jpg,0,,,,0
11133.jpg,1,12,13,3,0
11152.jpg,1,12,10,7,1
11168.jpg,0,,,,1
11169.jpg,0,,,,0
11174.jpg,0,,,,0
11182.jpg,1,12,12,7,0
11189.jpg,0,,,,0
11192.jpg,0,,,,0
112.jpg,1,10,10,7,0
11210.jpg,0,,,,0
11217.jpg,0,,,,0
11226.jpg,0,,,,1
11240.jpg,0,,,,0
11241.jpg,0,,,,0
11245.jpg,0,,,,0
11251.jpg,0,,,,0
11255.jpg,0,,,,0
11256.jpg,0,,,,0
11267.jpg,0,,,,0
11270.jpg,1,12,6,7,0
11274.jpg,0,,,,0
11279.jpg,0,,,,0
11283.jpg,0,,,,0
11301.jpg,0,,,,0
11304.jpg,0,,,,0
11313.jpg,0,,,,0
11331.jpg,1,10,6,7,1
11362.jpg,0,,,,0
11367.jpg,0,,,,1
11368.jpg,0,,,,0
11371.jpg,0,,,,1
11377.jpg,1,12,11,3,1
1139.jpg,0,,,,0
11409.jpg,0,,,,0
11421.jpg,1,12,13,3,0
11433.jpg,0,,,,0
11441.jpg,0,,,,1
11442.jpg,1,12,6,2,1
11449.jpg,1,12,6,3,1
11455.jpg,0,,,,1
1147.jpg,0,,,,0
11472.jpg,0,,,,1
1148.jpg,0,,,,1
11486.jpg,0,,,,1
11511.jpg,0,,,,1
11515.jpg,1,12,4,2,0
11529.jpg,0,,,,0
11546.jpg,0,,,,0
11558.jpg,0,,,,0
11560.jpg,0,,,,0
11585.jpg,0,,,,0
