,Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,MetaphoricalSenseCategory,SentimentCategory
,,"1 metaphor, 0  literal","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 physical property, 2 magnitude, 3 sense, 4 age, 5 shape, 6 state, 7 quality, 8 symbol","-1 negative, 0 neutral, 1 positive"
1,10995.jpg,1,12,11,7,1
2,10996.jpg,1,12,11,7,1
3,11007.jpg,1,12,10,3,1
4,11119.jpg,0,,,,1
5,11122.jpg,0,,,,0
6,11123.jpg,0,,,,1
7,11873.jpg,1,11,10,7,0
8,1069.jpg,1,12,10,7,0
9,11092.jpg,1,12,11,7,1
10,10544.jpg,1,12,11,3,0
11,1198.jpg,1,12,11,7,0
12,11983.jpg,0,,,,0
13,12.jpg,1,12,10,7,0
14,1200.jpg,0,,,,1
15,12000.jpg,1,12,6,7,0
16,12015.jpg,0,,,,1
17,12031.jpg,1,12,10,7,0
18,12041.jpg,1,12,10,7,0
19,a2508.jpg,1,12,12,3,1
20,10430.jpg,1,12,10,8,0
21,1023.jpg,1,12,11,7,0
22,11684.jpg,1,12,11,7,0
23,10003.jpg,1,12,10,8,0
24,12685.jpg,1,12,11,7,0
25,10006.jpg,0,,,,0
26,10012.jpg,1,12,6,7,1
27,10014.jpg,0,,,,0
28,10047.jpg,0,,,,1
29,10061.jpg,0,,,,1
30,10086.jpg,0,,,,1
31,10093.jpg,0,,,,1
32,10094.jpg,0,,,,0
33,10096.jpg,0,,,,0
34,1010.jpg,0,,,,0
35,1011.jpg,0,,,,1
36,10115.jpg,0,,,,0
37,10136.jpg,0,,,,0
38,10143.jpg,1,12,12,8,1
39,10151.jpg,0,,,,0
40,10153.jpg,0,,,,0
41,10155.jpg,1,10,10,7,1
42,10177.jpg,0,,,,1
43,10183.jpg,0,,,,0
44,10191.jpg,0,,,,1
45,10200.jpg,0,,,,0
46,10205.jpg,0,,,,0
47,10240.jpg,0,,,,0
48,10251.jpg,0,,,,0
49,10257.jpg,0,,,,0
50,1026.jpg,0,,,,0
51,10269.jpg,0,,,,0
52,10270.jpg,0,,,,0
53,10283.jpg,1,12,4,7,0
54,10284.jpg,1,12,11,7,0
55,10288.jpg,1,12,11,8,0
56,10308.jpg,0,,,,0
57,10310.jpg,1,12,12,8,1
58,10333.jpg,0,,,,0
59,10348.jpg,1,12,11,7,1
60,10355.jpg,0,,,,0
61,1036.jpg,0,,,,0
62,10363.jpg,0,,,,0
63,10373.jpg,0,,,,1
64,10380.jpg,0,,,,0
65,10391.jpg,0,,,,0
66,10392.jpg,0,,,,1
67,10406.jpg,0,,,,0
68,10407.jpg,0,,,,0
69,10410.jpg,0,,,,0
70,10415.jpg,0,,,,1
71,10421.jpg,0,,,,0
72,10429.jpg,0,,,,0
73,10433.jpg,1,12,11,7,0
74,10454.jpg,0,,,,1
75,10459.jpg,0,,,,0
76,10461.jpg,0,,,,0
77,10476.jpg,0,,,,0
78,10480.jpg,1,12,8,7,0
79,10488.jpg,0,,,,0
80,10490.jpg,1,12,11,7,1
81,1050.jpg,1,12,8,3,1
82,10503.jpg,0,,,,0
83,10504.jpg,0,,,,0
84,10513.jpg,0,,,,1
85,10518.jpg,0,12,12,7,0
86,10522.jpg,1,12,11,7,0
87,10525.jpg,1,12,10,3,1
88,10526.jpg,0,,,,0
89,10530.jpg,0,,,,1
90,10538.jpg,1,12,6,7,1
91,10545.jpg,0,,,,0
92,1055.jpg,0,,,,0
93,10559.jpg,0,,,,0
94,10566.jpg,1,12,10,7,0
95,10567.jpg,1,12,11,7,0
96,10572.jpg,0,,,,0
97,10597.jpg,0,,,,0
98,1060.jpg,1,12,11,7,0
99,10606.jpg,0,,,,0
100,10614.jpg,1,10,12,8,0
101,10640.jpg,0,,,,0
102,1065.jpg,0,,,,0
103,1066.jpg,1,12,11,7,1
104,10661.jpg,0,,,,1
105,10673.jpg,0,,,,0
106,10711.jpg,0,,,,0
107,1072.jpg,0,,,,0
108,10738.jpg,0,,,,0
109,10744.jpg,1,10,11,7,0
110,10746.jpg,0,12,12,8,0
111,1075.jpg,0,,,,0
112,10755.jpg,0,,,,1
113,10763.jpg,0,,,,0
114,10764.jpg,0,,,,0
115,10765.jpg,0,,,,0
116,10780.jpg,0,,,,0
117,10797.jpg,0,,,,0
118,1000.jpg,0,,,,1
119,10798.jpg,0,,,,0
120,10802.jpg,0,,,,0
121,10815.jpg,0,,,,0
122,10816.jpg,0,,,,0
123,10817.jpg,0,,,,1
124,10829.jpg,0,,,,0
125,1083.jpg,0,,,,0
126,10834.jpg,0,,,,1
127,10835.jpg,0,,,,1
128,10839.jpg,1,12,11,7,1
129,10865.jpg,0,,,,0
130,10867.jpg,1,12,11,7,1
131,10868.jpg,0,,,,1
132,10874.jpg,0,,,,0
133,1088.jpg,1,12,10,3,0
134,10882.jpg,0,,,,1
135,10886.jpg,1,10,11,7,0
136,10899.jpg,0,,,,1
137,10907.jpg,0,,,,0
138,10933.jpg,0,,,,0
139,10950.jpg,0,,,,1
140,10952.jpg,1,12,11,7,1
141,1096.jpg,1,12,11,7,1
142,10965.jpg,0,,,,1
143,10984.jpg,1,12,10,3,0
144,10988.jpg,0,,,,0
145,11009.jpg,0,,,,0
146,11011.jpg,0,,,,1
147,11040.jpg,1,12,10,3,0
148,11041.jpg,0,,,,0
149,11043.jpg,0,,,,0
150,11049.jpg,0,,,,0
151,1105.jpg,0,,,,0
152,11058.jpg,0,,,,1
153,11061.jpg,1,12,10,3,0
154,11068.jpg,0,,,,0
155,11078.jpg,1,12,11,3,0
156,11085.jpg,0,,,,1
157,11094.jpg,0,,,,0
158,11103.jpg,0,,,,0
159,11108.jpg,0,,,,1
160,11109.jpg,1,12,10,7,0
161,11113.jpg,0,,,,0
162,11133.jpg,1,12,13,3,0
163,11152.jpg,1,12,10,7,1
164,11168.jpg,0,,,,1
165,11169.jpg,0,,,,0
166,11174.jpg,0,,,,0
167,11182.jpg,1,12,12,7,0
168,11189.jpg,0,,,,0
169,11192.jpg,0,,,,0
170,112.jpg,1,10,10,7,0
171,11210.jpg,0,,,,0
172,11217.jpg,0,,,,0
173,11226.jpg,0,,,,1
174,11240.jpg,0,,,,0
175,11241.jpg,0,,,,0
176,11245.jpg,0,,,,0
177,11251.jpg,0,,,,0
178,11255.jpg,0,,,,0
179,11256.jpg,0,,,,0
180,11267.jpg,0,,,,0
181,11270.jpg,1,12,6,7,0
182,11274.jpg,0,,,,0
183,11279.jpg,0,,,,0
184,11283.jpg,0,,,,0
185,11301.jpg,0,,,,0
186,11304.jpg,0,,,,0
187,11313.jpg,0,,,,0
188,11331.jpg,1,10,6,7,1
189,11362.jpg,0,,,,0
190,11367.jpg,0,,,,1
191,11368.jpg,0,,,,0
192,11371.jpg,0,,,,1
193,11377.jpg,1,12,11,3,1
194,1139.jpg,0,,,,0
195,11409.jpg,0,,,,0
196,11421.jpg,1,12,13,3,0
197,11433.jpg,0,,,,0
198,11441.jpg,0,,,,1
199,11442.jpg,1,12,6,2,1
200,11449.jpg,1,12,6,3,1
201,11455.jpg,0,,,,1
202,1147.jpg,0,,,,0
203,11472.jpg,0,,,,1
204,1148.jpg,0,,,,1
205,11486.jpg,0,,,,1
206,11511.jpg,0,,,,1
207,11515.jpg,1,12,4,2,0
208,11529.jpg,0,,,,0
209,11546.jpg,0,,,,0
210,11558.jpg,0,,,,0
211,11560.jpg,0,,,,0
212,11585.jpg,0,,,,0
213,11600.jpg,0,,,,0
214,11602.jpg,0,,,,0
215,11607.jpg,0,,,,0
216,1161.jpg,0,,,,0
217,11679.jpg,0,,,,0
218,1168.jpg,1,12,7,7,0
219,11680.jpg,0,,,,0
220,11683.jpg,0,,,,1
221,11699.jpg,0,,,,0
222,11702.jpg,0,,,,1
223,11708.jpg,0,,,,1
224,1173.jpg,0,,,,1
225,11747.jpg,0,,,,0
226,11750.jpg,1,12,10,3,1
227,11752.jpg,1,10,11,3,0
228,11758.jpg,0,,,,0
229,11760.jpg,0,,,,0
230,11775.jpg,0,,,,1
231,11778.jpg,1,12,6,3,0
232,11786.jpg,0,,,,1
233,11801.jpg,0,,,,0
234,11808.jpg,1,12,8,3,0
235,11809.jpg,0,,,,0
236,11817.jpg,0,,,,0
237,11822.jpg,1,2,12,3,0
238,11826.jpg,1,12,10,3,0
239,11828.jpg,0,,,,1
240,11841.jpg,0,,,,1
241,11843.jpg,0,,,,0
242,11850.jpg,1,12,11,7,1
243,11852.jpg,1,12,7,8,0
244,11855.jpg,0,,,,0
245,11857.jpg,0,,,,0
246,1186.jpg,1,12,12,7,1
247,11889.jpg,0,,,,1
248,11905.jpg,0,,,,0
249,11919.jpg,0,,,,0
250,1192.jpg,1,12,12,3,1
251,11920.jpg,0,,,,0
252,1194.jpg,1,12,10,7,1
253,11944.jpg,0,12,5,8,1
254,11949.jpg,0,,,,0
255,11961.jpg,0,,,,1
256,11966.jpg,0,,,,1
257,11973.jpg,0,,,,0
258,12043.jpg,0,,,,0
259,12069.jpg,0,,,,0
260,12077.jpg,1,12,13,6,0
261,12080.jpg,0,,,,0
262,12088.jpg,0,,,,1
263,12089.jpg,0,,,,0
264,12100.jpg,0,,,,0
265,12105.jpg,1,12,11,3,0
266,12108.jpg,0,,,,0
267,12109.jpg,0,,,,1
268,1211.jpg,0,,,,1
269,12114.jpg,0,,,,0
270,12119.jpg,1,12,8,7,0
271,12121.jpg,1,12,11,3,0
272,12122.jpg,0,,,,0
273,12129.jpg,0,,,,0
274,12142.jpg,0,12,12,8,0
275,12143.jpg,0,12,7,7,0
276,12150.jpg,0,,,,0
277,12158.jpg,1,10,11,7,1
278,12164.jpg,0,,,,1
279,12169.jpg,0,,,,0
280,12183.jpg,0,,,,0
281,12198.jpg,0,,,,0
282,122.jpg,0,,,,0
283,12209.jpg,0,,,,0
284,1221.jpg,1,10,10,3,1
285,12225.jpg,1,12,10,3,1
286,12229.jpg,0,,,,0
287,12240.jpg,0,,,,1
288,12243.jpg,0,,,,0
289,12257.jpg,1,12,11,3,0
290,12266.jpg,0,,,,0
291,12295.jpg,0,,,,0
292,12299.jpg,0,,,,0
293,12311.jpg,0,,,,0
294,12324.jpg,0,,,,0
295,12327.jpg,1,12,11,2,0
296,12331.jpg,0,,,,0
297,12339.jpg,1,12,10,3,0
298,12346.jpg,0,,,,0
299,12348.jpg,0,,,,1
300,12360.jpg,0,,,,1
301,12375.jpg,0,,,,1
302,12378.jpg,0,,,,1
303,12381.jpg,0,,,,0
304,12385.jpg,0,,,,0
305,12387.jpg,0,,,,0
306,12393.jpg,0,,,,0
307,1240.jpg,0,,,,1
308,12415.jpg,1,12,11,7,0
309,12424.jpg,0,,,,0
310,12431.jpg,0,,,,1
311,12435.jpg,0,,,,0
312,12440.jpg,0,,,,0
313,12441.jpg,0,,,,1
314,12457.jpg,0,,,,0
315,12467.jpg,0,,,,0
316,12469.jpg,0,,,,0
317,12470.jpg,0,,,,0
318,12474.jpg,1,12,12,3,0
319,12494.jpg,0,,,,0
320,12495.jpg,0,,,,0
321,12508.jpg,0,,,,0
322,12514.jpg,0,,,,0
323,12521.jpg,0,,,,0
324,12528.jpg,0,,,,0
325,12550.jpg,0,,,,0
326,12557.jpg,0,,,,1
327,12562.jpg,0,,,,0
328,12563.jpg,0,,,,0
329,12569.jpg,0,,,,0
330,12576.jpg,0,,,,0
331,12603.jpg,1,10,10,3,0
332,12605.jpg,0,,,,1
333,12667.jpg,0,,,,1
334,12669.jpg,0,,,,0
335,1268.jpg,0,,,,0
336,12687.jpg,0,,,,0
337,127.jpg,0,,,,0
338,1270.jpg,1,12,8,3,0
339,12708.jpg,1,12,11,3,1
340,12769.jpg,1,12,11,7,0
341,12771.jpg,0,,,,0
342,12780.jpg,0,,,,0
343,12801.jpg,0,,,,0
344,12805.jpg,0,,,,1
345,1282.jpg,0,,,,1
346,12820.jpg,0,,,,0
347,12821.jpg,1,12,10,1,0
348,12828.jpg,0,,,,1
349,12829.jpg,1,12,10,7,0
350,12840.jpg,0,,,,1
351,12870.jpg,0,,,,1
352,12877.jpg,0,,,,1
353,12898.jpg,1,12,8,3,1
354,12916.jpg,1,12,13,8,0
355,12924.jpg,0,,,,0
356,12941.jpg,1,12,11,8,0
357,12942.jpg,0,,,,0
358,12964.jpg,0,,,,0
359,12978.jpg,1,12,12,8,1
360,12985.jpg,1,12,11,8,1
361,12997.jpg,1,12,11,7,0
362,130.jpg,0,,,,0
363,1300.jpg,0,,,,1
364,1302.jpg,1,12,10,3,1
365,1302.jpg,1,12,10,7,1
366,1303.jpg,0,,,,1
367,13041.jpg,1,12,2,7,1
368,1305.jpg,0,,,,0
369,13053.jpg,1,12,10,7,1
370,13062.jpg,1,12,11,7,0
371,13068.jpg,0,,,,0
372,13081.jpg,0,,,,0
373,13088.jpg,0,,,,0
374,13091.jpg,0,,,,0
375,13096.jpg,0,,,,0
376,13097.jpg,0,,,,0
377,13104.jpg,0,,,,0
378,13105.jpg,0,,,,0
379,13110.jpg,1,10,13,7,1
380,13117.jpg,0,,,,1
381,13123.jpg,0,,,,1
