Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,MetaphoricalSenseCategory,SentimentCategory,,
,"1 metaphor, 0  literal","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 physical property, 2 magnitude, 3 sense, 4 age, 5 shape, 6 state, 7 quality, 8 symbol","-1 negative, 0 neutral, 1 positive",,
1,1,12,12,5,-1,,
2,0,,,,0,,
3,0,,,,1,,
4,1,12,11,5,1,,
5,1,12,3,5,0,,
6,1,12,7,5,0,,
7,1,10,4,7,-1,,
8,1,10,12,7,1,,
9,1,10,10,5,1,,
10,1,12,11,5,1,,
11,1,5,8,5,1,,
12,1,12,11,5,1,,
13,1,11,6,5,0,,
14,1,13,7,8,1,,
15,1,12,11,5,1,,
16,0,,,,-1,,
17,0,,,,1,,
18,1,8,5,5,-1,,
19,1,7,13,5,0,,
20,1,12,12,5,1,,
21,0,,,,1,,
22,1,12,10,3,-1,,
23,1,10,12,5,-1,,
24,0,,,,0,,
25,0,,,,-1,,
26,0,,,,1,,
27,1,5,12,5,1,,
28,0,,,,1,,
29,0,,,,-1,,
30,0,,,,1,,
31,1,12,11,5,1,,
32,1,11,11,5,1,,
33,1,12,13,5,1,,
34,0,,,,1,,
35,0,,,,-1,,
36,1,12,12,5,1,,
37,1,8,11,5,-1,,
38,1,12,11,5,1,,
39,0,,,,1,,
40,1,12,12,5,-1,,
41,0,,,,0,,
42,1,7,4,7,0,,
43,1,11,11,5,1,,
44,1,12,12,5,-1,,
45,1,12,12,5,1,,
46,0,,,,1,,
47,1,2,12,7,0,,
48,0,,,,-1,,
49,1,10,11,3,1,,
50,0,,,,-1,,
51,1,10,12,5,0,,
52,1,12,11,5,1,,
53,0,,,,0,,
54,0,,,,1,,
55,0,,,,0,,
56,1,12,12,5,-1,,
57,1,10,10,5,-1,,
58,0,,,,1,,
59,1,12,12,5,1,,
60,0,,,,1,,
61,1,,,,1,,
62,0,,,,0,,
63,1,11,12,5,-1,,
64,0,,,,1,,
65,0,,,,0,,
66,1,10,11,5,-1,,
67,1,12,11,5,0,,
68,0,,,,0,,
69,0,,,,0,,
70,1,12,12,5,0,,
71,0,,,,0,,
72,1,4,9,8,1,,
73,0,,,,0,,
74,1,12,12,5,-1,,
75,0,,,,1,,
76,0,,,,0,,
77,0,,,,0,,
78,0,,,,1,,
79,1,5,11,5,0,,
80,0,,,,0,,
81,1,12,10,5,1,,
82,0,,,,0,,
83,0,,,,-1,,
84,0,,,,1,,
85,0,,,,0,,
86,1,12,12,5,0,,
87,0,,,,1,,
88,0,,,,0,,
89,0,,,,1,,
90,1,12,12,5,1,,
91,0,,,,0,,
92,0,,,,-1,,
93,0,,,,0,,
94,0,,,,1,,
95,1,12,12,8,1,,
96,0,,,,1,,
97,0,,,,1,,
98,1,10,6,7,1,,
99,0,,,,0,,
100,0,,,,-1,,
101,0,,,,1,,
102,0,,,,1,,
103,0,,,,-1,,
104,1,12,7,8,1,,
105,0,,,,1,,
106,0,,,,-1,,
107,1,3,12,8,1,,
108,0,,,,1,,
109,1,12,11,3,0,,
110,1,,7,5,1,,
111,1,11,8,5,1,,
112,0,,,,0,,
113,1,7,11,5,1,,
114,0,,,,1,,
115,0,,,,-1,,
116,0,,,,0,,
117,1,11,10,5,1,,
119,0,,,,1,,
120,0,,,,-1,,
121,1,12,1,8,-1,,
122,0,,,,1,,
123,0,,,,0,,
124,1,12,11,5,0,,
125,0,,,,0,,
126,0,,,,1,,
127,0,,,,0,,
128,1,12,12,5,0,,
129,0,,,,1,,
130,1,9,12,5,-1,,
131,0,,,,1,,
132,0,,,,0,,
133,1,12,10,5,0,,
134,1,4,8,5,1,,
135,0,,,,-1,,
136,0,,,,1,,
137,1,10,10,7,-1,,
138,0,,,,0,,
139,1,12,7,1,0,,
140,0,,,,0,,
141,0,,,,1,,
142,1,12,10,3,-1,,
143,1,10,11,5,0,,
144,0,,,,-1,,
145,0,,,,0,,
146,0,,,,0,,
147,1,10,10,8,-1,,
148,0,,,,0,,
149,0,,,,0,,
150,0,,,,0,,
151,0,,,,0,,
152,1,12,10,5,1,,
153,0,,,,0,,
154,0,,,,1,,
155,0,,,,1,,
156,0,,,,1,,
157,0,,,,1,,
158,1,12,5,5,-1,,
159,1,7,8,8,-1,,
160,0,,,,1,,
161,0,,,,0,,
162,0,,,,-1,,
163,0,,,,0,,
164,1,7,5,5,1,,
165,0,,,,-1,,
166,0,,,,1,,
167,1,12,12,5,1,,
168,0,,,,-1,,
169,0,,,,0,,
170,0,,,,0,,
171,1,3,10,5,1,,
172,0,,,,0,,
173,0,,,,0,,
174,0,,,,0,,
175,0,,,,0,,
176,1,11,10,8,0,,
177,0,,,,1,,
178,0,,,,0,,
179,0,,,,1,,
180,0,,,,0,,
181,0,,,,0,,
182,0,,,,1,,
183,1,7,10,8,-1,,
184,0,,,,1,,
185,1,12,10,5,1,,
186,0,,,,1,,
187,0,,,,0,,
188,0,,,,-1,,
189,0,,,,0,,
190,0,,,,-1,,
191,0,,,,0,,
192,0,,,,1,,
193,0,,,,1,,
194,0,,,,-1,,
195,1,3,8,8,0,,
196,0,,,,1,,
197,1,12,11,5,1,,
198,0,,,,1,,
199,0,,,,0,,
200,0,,,,1,,
201,1,12,12,5,0,,
202,1,12,12,8,-1,,
203,0,,,,1,,
204,0,,,,-1,,
205,0,,,,0,,
206,0,,,,1,,
207,1,12,2,5,1,,
208,0,,,,-1,,
209,0,,,,1,,
210,0,,,,0,,
211,0,,,,1,,
212,1,7,10,8,1,,
213,0,,,,-1,,
214,0,,,,-1,,
215,0,,,,1,,
216,1,11,8,5,-1,,
217,0,,,,0,,
218,1,11,10,5,1,,
219,0,,,,-1,,
220,0,,,,1,,
221,1,12,12,5,0,,
222,1,10,4,8,0,,
223,0,,,,1,,
224,0,,,,0,,
225,0,,,,1,,
226,1,11,9,8,0,,
227,0,,,,1,,
228,0,,,,-1,,
229,0,,,,1,,
230,0,,,,-1,,
231,0,,,,1,,
232,0,,,,1,,
233,1,10,11,5,1,,
234,0,,,,1,,
235,1,11,12,5,0,,
236,1,12,12,8,1,,
237,0,,,,0,,
238,1,12,11,3,1,,
239,1,11,12,5,0,,
240,0,,,,0,,
241,0,,,,1,,
242,1,7,10,8,-1,,
243,0,,,,1,,
244,1,12,7,3,-1,,
245,0,,,,1,,
246,0,,,,-1,,
247,0,,,,1,,
248,0,,,,-1,,
249,1,11,12,5,1,,
250,0,,,,1,,
251,0,,,,0,,
252,0,,,,1,,
253,1,11,12,5,0,,
254,0,,,,0,,
255,0,,,,-1,,
256,0,,,,-1,,
257,0,,,,-1,,
258,0,,,,0,,
259,0,,,,0,,
260,1,11,10,3,0,,
261,1,12,10,5,-1,,
262,0,,,,-1,,
263,0,,,,-1,,
264,0,,,,1,,
265,0,,,,1,,
266,0,,,,-1,,
267,0,,,,0,,
